시군구,주택유형,계약일,거래일,연면적(㎡),대지면적(㎡),거래금액(만원),계약해제일,건축년도,거래유형,중개사 소재지,매도자,매수자
용산구 서계동,단독,20250329,,17.48,34,"59,750",,2008,중개거래,서울 용산구,개인,개인
용산구 서계동,단독,20250521,,18.74,52,"70,000",,1929,중개거래,서울 용산구,개인,개인
용산구 서계동,단독,20250123,,151.55,122,"103,100",,1982,중개거래,서울 용산구,개인,개인
용산구 서계동,단독,20240614,,152.8,105,"123,000",,1993,중개거래,서울 용산구,개인,개인
