시군구,번지,본번,부번,건물명,계약일,거래일,거래금액(만원),전용면적(㎡),대지권면적(㎡),층,계약해제일,건축년도,거래유형,중개사 소재지,매도자,매수자
용산구 서계동,240-16,0240,0016,(240-16),20250716,,"80,500",45.81,19,2,,1997,중개거래,서울 용산구,개인,개인
용산구 서계동,240-16,0240,0016,(240-16),20251230,,"73,000",45.81,19,-1,,1997,중개거래,서울 용산구,개인,개인
용산구 서계동,240-30,0240,0030,(240-30),20260104,,"76,500",49.52,16,1,,1998,중개거래,서울 용산구,개인,개인
용산구 서계동,241-8,0241,0008,(241-8),20250715,,"73,000",20.3,16,3,,2021,중개거래,서울 용산구,개인,개인
용산구 서계동,245-28,0245,0028,(245-28),20251222,,"86,000",42.62,18,1,,1999,중개거래,"서울 용산구, 서울 중구",개인,개인
용산구 서계동,246-24,0246,0024,(246-24),20260403,,"93,000",47.14,18,1,,1997,중개거래,"서울 용산구, 서울 중구",개인,개인
용산구 서계동,246-34,0246,0034,(246-34),20250827,,"80,000",54.11,21,2,,1996,중개거래,서울 용산구,개인,개인
용산구 서계동,246-38,0246,0038,(246-38),20260417,,"54,000",26.51,9,1,,1998,중개거래,"서울 용산구, 서울 중구",개인,개인
용산구 서계동,246-38,0246,0038,(246-38),20260420,,"54,800",28.19,9,2,,1998,중개거래,"서울 용산구, 서울 중구",개인,개인
용산구 서계동,246-38,0246,0038,(246-38),20260422,,"55,000",28.19,9,3,,1998,중개거래,서울 마포구,개인,개인
용산구 서계동,246-38,0246,0038,(246-38),20260429,,"50,000",28.19,9,-1,,1998,중개거래,서울 용산구,개인,개인
용산구 서계동,246-38,0246,0038,(246-38),20260414,,"63,000",32.82,11,3,,1998,중개거래,서울 용산구,개인,개인
용산구 서계동,246-38,0246,0038,(246-38),20260420,,"55,000",32.82,11,-1,,1998,중개거래,서울 용산구,개인,개인
용산구 서계동,246-38,0246,0038,(246-38),20260422,,"65,000",32.82,11,2,,1998,중개거래,"서울 마포구, 서울 용산구",개인,개인
용산구 서계동,246-38,0246,0038,(246-38),20260408,,"65,000",34.5,12,1,,1998,중개거래,서울 용산구,개인,개인
용산구 서계동,246-7,0246,0007,(246-7),20260320,,"110,000",57.24,22,2,,1997,중개거래,서울 용산구,개인,개인
용산구 서계동,247-15,0247,0015,(247-15),20251024,,"62,500",29.72,12,1,,2015,중개거래,서울 용산구,개인,개인
용산구 서계동,251-1,0251,0001,(251-1),20260314,,"96,700",55.14,22,2,,1996,중개거래,서울 용산구,개인,개인
용산구 서계동,251-10,0251,0010,(251-10),20250626,,"55,000",24.33,11,2,,1996,중개거래,서울 용산구,개인,개인
용산구 서계동,251-11,0251,0011,(251-11),20251013,,"35,000",32.86,17,1,20251016,1996,중개거래,서울 용산구,개인,개인
용산구 서계동,251-11,0251,0011,(251-11),20251110,,"35,000",32.86,17,1,,1996,중개거래,서울 용산구,개인,개인
용산구 서계동,251-12,0251,0012,(251-12),20251024,,"50,000",25.03,9,-1,,1996,중개거래,서울 용산구,개인,개인
용산구 서계동,251-12,0251,0012,(251-12),20260313,,"60,000",25.03,9,2,,1996,중개거래,"서울 용산구, 서울 중구",개인,개인
용산구 서계동,251-54,0251,0054,(251-54),20251107,,"96,000",56.02,26,2,,2009,중개거래,"서울 마포구, 서울 용산구",개인,개인
용산구 서계동,252-50,0252,0050,(252-50),20251230,,"75,000",45.54,18,-1,,1998,중개거래,서울 용산구,개인,개인
용산구 서계동,252-56,0252,0056,(252-56),20260226,,"79,000",36.34,18,2,,1996,중개거래,서울 용산구,개인,개인
용산구 서계동,252-69,0252,0069,(252-69),20260224,,"69,000",33.34,12,3,,1998,중개거래,서울 용산구,개인,개인
용산구 서계동,252-73,0252,0073,(252-73),20250625,,"66,000",47.98,17,2,,1996,중개거래,서울 용산구,개인,개인
용산구 서계동,252-78,0252,0078,(252-78),20260128,,"70,000",41.77,13,2,,1998,중개거래,서울 용산구,개인,개인
용산구 서계동,254-2,0254,0002,(254-2),20260227,,"62,000",31.79,11,3,,1998,중개거래,"서울 용산구, 서울 중구",개인,개인
용산구 서계동,257-1,0257,0001,(257-1),20250724,,"67,000",49.01,14,4,,1998,중개거래,서울 용산구,개인,개인
용산구 서계동,257-2,0257,0002,(257-2),20251029,,"41,000",22.73,9,-1,,1998,중개거래,서울 용산구,개인,개인
용산구 서계동,257-4,0257,0004,(257-4),20260321,,"69,000",35.3,11,2,,1998,중개거래,서울 용산구,개인,개인
용산구 서계동,257-4,0257,0004,(257-4),20260522,,"66,000",35.3,11,-1,,1998,중개거래,서울 용산구,개인,개인
용산구 서계동,258-10,0258,0010,(258-10),20260223,,"105,000",50.55,19,4,,1997,중개거래,서울 용산구,개인,개인
용산구 서계동,261-5,0261,0005,(261-5),20251022,,"94,000",54.12,26,3,,2008,중개거래,서울 용산구,개인,개인
용산구 서계동,261-5,0261,0005,(261-5),20260317,,"90,000",57.71,26,-1,,2008,중개거래,서울 용산구,개인,개인
용산구 서계동,33-32,0033,0032,(33-32),20251008,,"110,000",54.68,41,2,,1986,중개거래,서울 용산구,개인,개인
용산구 서계동,33-6,0033,0006,(33-6),20250721,,"85,000",41.1,44,-1,,1986,중개거래,"서울 성동구, 서울 용산구",개인,개인
용산구 서계동,96-6,0096,0006,(96-6),20260131,,"98,000",39.6,29,2,,1987,중개거래,서울 용산구,개인,개인
용산구 서계동,242-2,0242,0002,242-2,20260421,,"45,300",25.36,17,5,,2021,직거래,,개인,개인
용산구 서계동,251-17,0251,0017,광성빌라,20250626,,"80,000",54.69,26,1,,1996,중개거래,서울 용산구,개인,개인
용산구 서계동,54-12,0054,0012,미도A,20260501,,"100,000",50.82,33,2,,1987,중개거래,서울 용산구,개인,개인
용산구 서계동,33-56,0033,0056,서계라온펠리체,20251124,,"82,000",29.14,18,4,,2023,중개거래,서울 용산구,개인,개인
용산구 서계동,33-56,0033,0056,서계라온펠리체,20260306,,"82,000",29.14,18,3,,2023,중개거래,서울 용산구,개인,개인
용산구 서계동,33-56,0033,0056,서계라온펠리체,20260306,,"82,000",29.14,18,3,,2023,중개거래,서울 용산구,개인,개인
용산구 서계동,33-56,0033,0056,서계라온펠리체,20260313,,"82,000",29.3,18,4,,2023,중개거래,서울 용산구,개인,개인
용산구 서계동,33-56,0033,0056,서계라온펠리체,20250903,,"81,000",29.4,18,4,,2023,중개거래,서울 용산구,개인,개인
용산구 서계동,33-56,0033,0056,서계라온펠리체,20250715,,"88,000",29.64,18,4,20260327,2023,중개거래,서울 용산구,개인,개인
용산구 서계동,33-56,0033,0056,서계라온펠리체,20260206,,"88,000",29.64,18,4,,2023,중개거래,서울 용산구,개인,개인
용산구 서계동,246-2,0246,0002,수정빌라(246-2),20260119,,"71,000",40.17,15,-1,,1997,중개거래,서울 용산구,개인,개인
용산구 서계동,246-2,0246,0002,수정빌라(246-2),20260427,,"60,000",40.17,15,4,,1997,직거래,,개인,개인
용산구 서계동,223-33,0223,0033,에스에스빌라가동,20250919,,"100,000",43.96,30,2,,2007,중개거래,서울 용산구,개인,개인
용산구 서계동,96-12,0096,0012,엘림빌라,20251101,,"111,000",69.03,47,1,,1990,중개거래,서울 용산구,개인,개인
용산구 서계동,33-233,0033,0233,오브레더서계,20260507,,"75,000",29.99,21,2,,2022,중개거래,서울 용산구,개인,개인
용산구 서계동,246-42,0246,0042,청운빌라,20251224,,"64,500",57.02,18,-1,20260129,2001,중개거래,서울 용산구,개인,개인
용산구 서계동,246-42,0246,0042,청운빌라,20260109,,"64,500",57.02,18,-1,,2001,중개거래,서울 용산구,개인,개인
용산구 서계동,246-42,0246,0042,청운빌라,20260409,,"100,000",57.02,18,3,,2001,중개거래,서울 용산구,개인,개인
용산구 서계동,33-64,0033,0064,퍼스트하우스,20250811,,"51,000",29.97,20,3,,2021,중개거래,서울 마포구,개인,개인
용산구 서계동,261-17,0261,0017,하이츠빌라A동(261-17),20251001,,"81,000",51.97,26,2,,2009,중개거래,서울 용산구,개인,개인
용산구 서계동,261-6,0261,0006,하이츠빌라B동(261-6),20260211,,"112,000",50.32,26,2,,2009,중개거래,서울 용산구,개인,개인
용산구 서계동,33-14,0033,0014,현대빌라(33-14),20260108,,"85,000",38.86,32,-1,,1989,중개거래,"서울 마포구, 서울 용산구",개인,개인
